[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.047003s ]
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.047003s ]
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002000s ]
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-04-13T20:07:19+08:00 ] /weibo/admin.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-04-13T20:07:35+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2016-04-13T20:07:35+08:00 ] /weibo/admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.003000s ]
[ 2016-04-13T20:07:35+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003000s ]
[ 2016-04-13T20:07:35+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2016-04-13T20:07:35+08:00 ] /weibo/admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-04-13T20:07:35+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-04-13T20:07:35+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2016-04-13T20:07:35+08:00 ] /weibo/admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-04-13T20:07:35+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2016-04-13T20:07:35+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2016-04-13T20:07:35+08:00 ] /weibo/admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.019001s ]
[ 2016-04-13T20:07:35+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020001s ]
[ 2016-04-13T20:07:35+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2016-04-13T20:07:35+08:00 ] /weibo/admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-04-13T20:07:35+08:00 ] /weibo/admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-04-13T20:07:35+08:00 ] /weibo/admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-04-13T20:07:35+08:00 ] /weibo/admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-04-13T20:07:35+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002000s ]
[ 2016-04-13T20:07:35+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2016-04-13T20:07:35+08:00 ] /weibo/admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-04-13T20:07:35+08:00 ] /weibo/admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-04-13T20:07:36+08:00 ] /weibo/admin.php/Login/verify | INFO: Tag[ route_check ] --START--
